ISBN,Book-Title,Book-Author,Genre
0195153448,Classical Mythology,Mark P. O. Morford,"Fantasy, Literary Classic"
0002005018,Clara Callan,Richard Bruce Wright,"Fiction, Literary Classic, Historical Fiction"
0060973129,Decision in Normandy,Carlo D'Este,"Science Fiction, History and Politics"
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,"Science, Science Fiction, Health and Medicine, History and Politics"
0393045218,The Mummies of Urumchi,E. J. W. Barber,Unknown
0399135782,The Kitchen God's Wife,Amy Tan,"Nonfiction, Short Stories, Contemporary Fiction, Literary Classic, Fiction, Romance"
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,"Nonfiction, History and Politics, Fiction"
0671870432,PLEADING GUILTY,Scott Turow,"True Crime, Mystery, Fiction, Thriller"
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,"Adventure, History and Politics"
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,"Short Stories, Fiction"
0771074670,Nights Below Station Street,David Adams Richards,Fiction
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,"Science Fiction, History and Politics, Business"
0887841740,The Middle Stories,Sheila Heti,Unknown
1552041778,Jane Doe,R. J. Kaiser,"Fiction, Romance, Historical Fiction"
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Unknown
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,"Mystery, Fiction"
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,"History and Politics, Thriller"
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,"Romance, Fiction"
0440234743,The Testament,John Grisham,"Thriller, Science Fiction, Literary Classic, Fiction, Philosophy, Romance, Historical Fiction"
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,"Short Stories, Crime, Thriller, Science Fiction, Children Books, Literary Classic, Fiction, History and Politics, Historical Fiction"
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,History and Politics
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,"Cooking, History and Politics"
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,"Self Help, Business, Education and Reference, Young Adult"
0061076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Olsen,"Children Books, Fiction, Young Adult"
0439095026,Tell Me This Isn't Happening,Robynn Clairday,"Fantasy, Children Books, Literary Classic, Fiction"
0689821166,Flood : Mississippi 1927,Kathleen Duey,"Adventure, Children Books, Fiction, Young Adult"
0971880107,Wild Animus,Rich Shapero,"Science Fiction, Science, Adventure, Fiction, Supernatural, History and Politics, Romance, Philosophy"
0345402871,Airframe,Michael Crichton,"Science Fiction, Science, Adventure, Fiction, Art and Photography, Business, True Crime, Biography, Thriller"
0345417623,Timeline,MICHAEL CRICHTON,"Science Fiction, Science, Adventure, Children Books, Fiction, History and Politics, Travel and Exploration, Thriller"
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,"Fantasy, Science, Science Fiction, Children Books, Young Adult, Fiction"
0375759778,Prague : A Novel,ARTHUR PHILLIPS,Unknown
0425163091,Chocolate Jesus,Stephan Jaramillo,"Supernatural, Business, Horror, Fiction"
3404921038,Wie Barney es sieht.,Mordecai Richler,"Crime, Fiction, True Crime, Romance, Historical Fiction"
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Unknown
3442410665,Sturmzeit. Roman.,Charlotte Link,Unknown
3442446937,Tage der Unschuld.,Richard North Patterson,Unknown
