ReviewID,UserID,ISBN,Comment,Time
1,999,0195153448,Great book!,2024-01-01
2,999,0002005018,Didn't love it,2024-01-02
3,8,0374157065,jknfkjnfwkej,2025-12-02
4,7,0374157065,gvbjuhgvgjhv,2025-12-02
5,11,0374157065,kjhnefkjewfkjef - Edit 2 4 5,2025-12-02
6,12,0374157065,iuhfehbfehddd rr3e,2025-12-02
7,13,0374157065,m fdnskjndskhb - edit 2,2025-12-02
8,1,0679751343,Testing adding review,2025-12-03
9,2,0679751343,Testing Review Number Two,2025-12-03
10,1,0972938001,Testy Testy,2025-12-04
10,2,0972938001,Testy Testy2,2025-12-04
