ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;Health Communications;http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
0345402871;Airframe;Michael Crichton;1997;Ballantine Books;http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0156047624;All the King's Men;Robert Penn Warren;1982;Harvest Books;http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
0380715899;A Soldier of the Great War;Mark Helprin;1992;Avon Books;http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg
0964778319;An Atmosphere of Eternity: Stories of India;David Iglehart;2002;Sunflower Press;http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg
0375410538;Anil's Ghost;MICHAEL ONDAATJE;2000;Knopf;http://images.amazon.com/images/P/0375410538.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375410538.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg
0446612618;A Kiss Remembered;Sandra Brown;2003;Warner Books;http://images.amazon.com/images/P/0446612618.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg
0671027360;Angels & Demons;Dan Brown;2001;Pocket Star;http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
0316735736;All He Ever Wanted: A Novel;Anita Shreve;2004;Back Bay Books;http://images.amazon.com/images/P/0316735736.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316735736.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg
038572179X;Atonement : A Novel;IAN MCEWAN;2003;Anchor;http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
0830714014;Always Daddy's Girl: Understanding Your Father's Impact on Who You Are;H. Norman Wright;1989;Regal Books;http://images.amazon.com/images/P/0830714014.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0830714014.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0830714014.01.LZZZZZZZ.jpg
0380718332;All That Remains (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1993;Avon;http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
0440234964;All or Nothing (Wheeler Large Print Books);Elizabeth Adler;2000;Island;http://images.amazon.com/images/P/0440234964.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440234964.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440234964.01.LZZZZZZZ.jpg
0743486226;Angels & Demons;Dan Brown;2003;Atria;http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
0786863986;A Monk Swimming;Malachy McCourt;1998;Hyperion;http://images.amazon.com/images/P/0786863986.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0786863986.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg
0375704965;A Judgement in Stone;Ruth Rendell;2000;Vintage Books USA;http://images.amazon.com/images/P/0375704965.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375704965.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375704965.01.LZZZZZZZ.jpg
0451526341;Animal Farm;George Orwell;2004;Signet;http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
0679751343;Angels & Insects : Two Novellas;A.S. BYATT;1994;Vintage;http://images.amazon.com/images/P/0679751343.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679751343.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679751343.01.LZZZZZZZ.jpg
0963094424;Angels and Visitations: A Miscellany;Neil Gaiman;1993;Dreamhaven Books;http://images.amazon.com/images/P/0963094424.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0963094424.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0963094424.01.LZZZZZZZ.jpg
1592571301;Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours);Trudy Suggs;2003;Alpha Books;http://images.amazon.com/images/P/1592571301.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1592571301.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1592571301.01.LZZZZZZZ.jpg
0374270325;A Man in Full;Tom Wolfe;1998;Farrar Straus & Giroux;http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg
044023722X;A Painted House;John Grisham;2001;Dell Publishing Company;http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
0553571486;Angel of Hope (Mercy Trilogy);Lurlene McDaniel;2000;Starfire;http://images.amazon.com/images/P/0553571486.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553571486.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553571486.01.LZZZZZZZ.jpg
0345430476;A Small Dark Place;Martin Schenk;1999;Ballantine Books;http://images.amazon.com/images/P/0345430476.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345430476.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345430476.01.LZZZZZZZ.jpg
0385313748;All Our Yesterdays (Large Print);Robert B. Parker;1994;Delacorte Press;http://images.amazon.com/images/P/0385313748.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385313748.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385313748.01.LZZZZZZZ.jpg
0684193957;ALL THAT REMAINS;Patricia Cornwell;1992;Scribner;http://images.amazon.com/images/P/0684193957.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684193957.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684193957.01.LZZZZZZZ.jpg
1573228737;Affinity;Sarah Waters;2002;Riverhead Books;http://images.amazon.com/images/P/1573228737.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1573228737.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1573228737.01.LZZZZZZZ.jpg
0743411269;An Accidental Woman;Barbara Delinsky;2003;Pocket Books;http://images.amazon.com/images/P/0743411269.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743411269.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743411269.01.LZZZZZZZ.jpg
0767905938;A Year by the Sea: Thoughts of an Unfinished Woman;Joan Anderson;2000;Broadway Books;http://images.amazon.com/images/P/0767905938.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0767905938.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0767905938.01.LZZZZZZZ.jpg
156718796X;Astral Travel for Beginners (For Beginners);Richard Webster;1998;Llewellyn Publications;http://images.amazon.com/images/P/156718796X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/156718796X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/156718796X.01.LZZZZZZZ.jpg
0451527747;Alice's Adventures in Wonderland and Through the Looking Glass;Lewis Carroll;2000;Signet Classics;http://images.amazon.com/images/P/0451527747.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451527747.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451527747.01.LZZZZZZZ.jpg
8486433193;Amorrada al piló (Columna);Maria Jaén;1986;Columna;http://images.amazon.com/images/P/8486433193.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8486433193.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8486433193.01.LZZZZZZZ.jpg
