ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994;Plume;http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
042511774X;Breathing Lessons;Anne Tyler;1994;Berkley Publishing Group;http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
1569871213;Black Beauty (Illustrated Classics);Anna Sewell;1995;Landoll;http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg
0671521519;Bless The Beasts And Children : Bless The Beasts And Children;Glendon Swarthout;1995;Pocket;http://images.amazon.com/images/P/0671521519.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg
0312953453;Blood Oath;David Morrell;1994;St. Martin's Press;http://images.amazon.com/images/P/0312953453.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg
0743249992;Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions;Ben Mezrich;2003;Free Press;http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg
0671004573;Before I Say Good-Bye;Mary Higgins Clark;2001;Pocket;http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
0330332775;Bridget Jones's Diary;Helen Fielding;1997;Picador (UK);http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
0380717018;Body of Evidence (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1992;Avon;http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
0385511612;Bleachers;John Grisham;2003;Doubleday;http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
0439510112;Born Confused;Tanuja Desai Hidier;2003;Push;http://images.amazon.com/images/P/0439510112.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0439510112.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0439510112.01.LZZZZZZZ.jpg
0380728729;Babyhood;Paul Reiser;1998;Avon;http://images.amazon.com/images/P/0380728729.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380728729.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380728729.01.LZZZZZZZ.jpg
