ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press;http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
0002005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada;http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
0425163091;Chocolate Jesus;Stephan Jaramillo;1998;Berkley Publishing Group;http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
0671621009;Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!;Robert G. Allen;1986;Fireside;http://images.amazon.com/images/P/0671621009.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671621009.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg
067976397X;Corelli's Mandolin : A Novel;Louis De Bernieres;1995;Vintage;http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg
0375500766;Care Packages : Letters to Christopher Reeve From Strangers and Other Friends;Dana Reeve;1999;Random House;http://images.amazon.com/images/P/0375500766.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg
0061099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992;HarperTorch;http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg
0505524996;Contact;Susan Grant;2002;Love Spell;http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg
0061030147;Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think;Cybill Shepherd;2001;Avon Books;http://images.amazon.com/images/P/0061030147.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg
0385337639;Crow Lake (Today Show Book Club #7);Mary Lawson;2003;Delta;http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg
