ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0060973129;Decision in Normandy;Carlo d'Este;1991;HarperPerennial;http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
3442353866;Der Fluch Der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;Goldmann;http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
0061099686;Downtown;Anne Rivers Siddons;1995;HarperTorch;http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
0743403843;Decipher;Stel Pavlou;2002;Simon & Schuster (Trade Division);http://images.amazon.com/images/P/0743403843.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg
0553062042;Daybreakers Louis Lamour Collection;Louis Lamour;1981;Bantam Doubleday Dell;http://images.amazon.com/images/P/0553062042.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg
0553584383;Dead Aim;Iris Johansen;2004;Bantam Books;http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
0385336772;Diary of a Mad Mom-to-Be;Laura Wolf;2003;Delta;http://images.amazon.com/images/P/0385336772.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385336772.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg
3257203659;Der Illustrierte Mann. ErzÃ?Â¤hlungen.;Ray Bradbury;2002;Diogenes;http://images.amazon.com/images/P/3257203659.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257203659.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257203659.01.LZZZZZZZ.jpg
3257207522;Der KÃ?Â¶nig in Gelb.;Raymond Chandler;1980;Diogenes Verlag;http://images.amazon.com/images/P/3257207522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257207522.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257207522.01.LZZZZZZZ.jpg
3257208634;Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.;Ray Bradbury;1981;Diogenes Verlag;http://images.amazon.com/images/P/3257208634.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257208634.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257208634.01.LZZZZZZZ.jpg
3257208669;Das BÃ?Â¶se Kommt Auf Leisen Sohlen.;Ray Bradbury;2003;Diogenes;http://images.amazon.com/images/P/3257208669.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257208669.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257208669.01.LZZZZZZZ.jpg
3257212054;Das Kind Von Morgen. ErzÃ?Â¤hlungen.;Ray Bradbury;2000;Diogenes Verlag;http://images.amazon.com/images/P/3257212054.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257212054.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257212054.01.LZZZZZZZ.jpg
3257212429;Die Mechanismen Der Freude. ErzÃ?Â¤hlungen.;Ray Bradbury;2000;Diogenes Verlag;http://images.amazon.com/images/P/3257212429.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257212429.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257212429.01.LZZZZZZZ.jpg
