ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
8445071408;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));J. R. R. Tolkien;2001;Minotauro;http://images.amazon.com/images/P/8445071408.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg
8445071769;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));J. R. R. Tolkien;2001;Minotauro;http://images.amazon.com/images/P/8445071769.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8445071769.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg
8445071777;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);J. R. R. Tolkien;2001;Distribooks;http://images.amazon.com/images/P/8445071777.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8445071777.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg
0743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002;Pocket;http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg
8476409419;Estudios sobre el amor;Jose Ortega Y Gaset;2001;Downtown Book Center;http://images.amazon.com/images/P/8476409419.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8476409419.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg
0671021745;EYE ON CRIME: HARDY BOYS #153;Franklin W. Dixon;1998;Aladdin;http://images.amazon.com/images/P/0671021745.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671021745.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671021745.01.LZZZZZZZ.jpg
3548254268;Eine ganz normale Aff�?¤re.;Joanna Trollope;2002;Ullstein Tb;http://images.amazon.com/images/P/3548254268.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3548254268.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3548254268.01.LZZZZZZZ.jpg
0451526279;Emma (Signet Classics (Paperback));Jane Austen;1996;Signet Classics;http://images.amazon.com/images/P/0451526279.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451526279.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451526279.01.LZZZZZZZ.jpg
0553280589;Eva Luna;Isabel Allende;1989;Bantam Books;http://images.amazon.com/images/P/0553280589.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg
8483007010;El gust amarg de la cervesa (Collecció Clàssica);Isabel-Clara Simó;1999;Columna;http://images.amazon.com/images/P/8483007010.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8483007010.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8483007010.01.LZZZZZZZ.jpg
8433914545;El Palacio de La Luna;Paul Auster;1996;Anagrama;http://images.amazon.com/images/P/8433914545.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8433914545.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8433914545.01.LZZZZZZZ.jpg
8401351421;El desarrollo de Leonardo da Vinci (Biografías y memorias);Luis Racionero;1986;Plaza & Janés;http://images.amazon.com/images/P/8401351421.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8401351421.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8401351421.01.LZZZZZZZ.jpg
8440616252;El paraíso (Tiempos modernos);Elena Castedo;1991;Editiones B, Grupo Zeta;http://images.amazon.com/images/P/8440616252.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8440616252.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8440616252.01.LZZZZZZZ.jpg
8472227421;Essa efa (Col¨lecció El Mirall i el temps);Ofèlia Dracs;1985;Editorial Laia;http://images.amazon.com/images/P/8472227421.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8472227421.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8472227421.01.LZZZZZZZ.jpg
8474103347;Espurnes de sang (La Negra);Antoni Serra;1987;Edicions de la Magrana;http://images.amazon.com/images/P/8474103347.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8474103347.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8474103347.01.LZZZZZZZ.jpg
8478098267;El dia que es va cremar el Liceu (La primera Columna);Joan Agut;1995;Columna;http://images.amazon.com/images/P/8478098267.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8478098267.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8478098267.01.LZZZZZZZ.jpg
0375726403;Empire Falls;Richard Russo;2002;Vintage Books USA;http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
0486292940;Early Poems (Dover Thrift Editions);William Carlos Williams;1997;Dover Publications;http://images.amazon.com/images/P/0486292940.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0486292940.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0486292940.01.LZZZZZZZ.jpg
0618173870;Everything Is Illuminated: A Novel;Jonathan Safran Foer;2002;Houghton Mifflin Company;http://images.amazon.com/images/P/0618173870.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0618173870.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0618173870.01.LZZZZZZZ.jpg
0061096091;Eyeshot;Lynn S. Hightower;1997;Harper Mass Market Paperbacks (Mm);http://images.amazon.com/images/P/0061096091.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061096091.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061096091.01.LZZZZZZZ.jpg
0060558865;Ella Enchanted (rack);Gail Carson Levine;2004;Avon;http://images.amazon.com/images/P/0060558865.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060558865.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060558865.01.LZZZZZZZ.jpg
0440122090;Echoes;Maeve Binchy;1989;Dell;http://images.amazon.com/images/P/0440122090.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440122090.01.LZZZZZZZ.jpg
0425174484;Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic;Martha Beck;2000;Berkley Publishing Group;http://images.amazon.com/images/P/0425174484.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425174484.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425174484.01.LZZZZZZZ.jpg
0345305477;Easy Travel to Other Planets;Ted Mooney;1982;Ballantine Books;http://images.amazon.com/images/P/0345305477.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345305477.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345305477.01.LZZZZZZZ.jpg
0399147012;Edge of Danger;Jack Higgins;2001;Putnam Publishing Group;http://images.amazon.com/images/P/0399147012.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0399147012.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0399147012.01.LZZZZZZZ.jpg
0416196772;Eeyore's Little Book of Gloom;Alan Alexander Milne;1999;Routledge;http://images.amazon.com/images/P/0416196772.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0416196772.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0416196772.01.LZZZZZZZ.jpg
1884777805;Elements of Programming With Perl;Andrew L. Johnson;1999;Manning Publications;http://images.amazon.com/images/P/1884777805.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1884777805.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1884777805.01.LZZZZZZZ.jpg
0312853238;Ender's Game (Ender Wiggins Saga (Paperback));Orson Scott Card;1992;Tor Books;http://images.amazon.com/images/P/0312853238.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312853238.01.LZZZZZZZ.jpg
0140620109;Emma (Penguin Popular Classics);Jane Austen;1994;Penguin Books Ltd;http://images.amazon.com/images/P/0140620109.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140620109.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140620109.01.LZZZZZZZ.jpg
0060529709;Everything Is Illuminated : A Novel;Jonathan Safran Foer;2003;Perennial;http://images.amazon.com/images/P/0060529709.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060529709.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060529709.01.LZZZZZZZ.jpg
3453177800;Ein Mann f�?¼r jede Gelegenheit.;Carolyn See;2001;Heyne;http://images.amazon.com/images/P/3453177800.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3453177800.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3453177800.01.LZZZZZZZ.jpg
3426871874;Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.;Christopher Weidner;2003;Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.;http://images.amazon.com/images/P/3426871874.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3426871874.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3426871874.01.LZZZZZZZ.jpg
0451130448;Exocet;Jack Higgins;1984;Penguin Putnam~mass;http://images.amazon.com/images/P/0451130448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451130448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451130448.01.LZZZZZZZ.jpg
0345285549;Elfstones of Shannara;Terry Brooks;1990;Del Rey Books;http://images.amazon.com/images/P/0345285549.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345285549.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345285549.01.LZZZZZZZ.jpg
0517006456;Eve's Rib;Bryn Chandler;1988;Random House Inc;http://images.amazon.com/images/P/0517006456.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0517006456.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0517006456.01.LZZZZZZZ.jpg
0316825336;Evening News: A Novel;Marly A. Swick;1999;Little Brown & Co;http://images.amazon.com/images/P/0316825336.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316825336.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316825336.01.LZZZZZZZ.jpg
155643068X;Exploring Inner and Outer Space: A Scientist's Perspective on Personal and Planetary Transformation;Brian O'Leary;1989;North Atlantic Books;http://images.amazon.com/images/P/155643068X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/155643068X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/155643068X.01.LZZZZZZZ.jpg
031227999X;Emotionally Weird: A Novel;Kate Atkinson;2001;Picador USA;http://images.amazon.com/images/P/031227999X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/031227999X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/031227999X.01.LZZZZZZZ.jpg
0890842795;English Handbook for Christian Schools;Grace Colling;2001;Bob Jones Univ Pr;http://images.amazon.com/images/P/0890842795.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0890842795.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0890842795.01.LZZZZZZZ.jpg
0451523067;Emma;Jane Austen;1994;New Amer Library Classics;http://images.amazon.com/images/P/0451523067.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451523067.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451523067.01.LZZZZZZZ.jpg
0375703055;Ellen Foster;Kaye Gibbons;1997;Vintage Books;http://images.amazon.com/images/P/0375703055.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375703055.01.LZZZZZZZ.jpg
