ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;Farrar Straus Giroux;http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
0689821166;Flood : Mississippi 1927;Kathleen Duey;1998;Aladdin;http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
0553582747;From the Corner of His Eye;Dean Koontz;2001;Bantam Books;http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0312252617;Fast Women;Jennifer Crusie;2001;St. Martin's Press;http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
0312261594;Female Intelligence;Jane Heller;2001;St. Martin's Press;http://images.amazon.com/images/P/0312261594.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg
3257208626;Fahrenheit 451;Ray Bradbury;1994;Distribooks Inc;http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg
3257214154;Familientreffen. ErzÃ?Â¤hlungen.;Ray Bradbury;2000;Diogenes Verlag;http://images.amazon.com/images/P/3257214154.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257214154.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257214154.01.LZZZZZZZ.jpg
0316693006;Four Blind Mice;James Patterson;2002;Little, Brown;http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg
1853260673;Far From the Madding Crowd (Wordsworth Classics);Thomas Hardy;1997;NTC/Contemporary Publishing Company;http://images.amazon.com/images/P/1853260673.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1853260673.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1853260673.01.LZZZZZZZ.jpg
0486282112;Frankenstein (Dover Thrift Editions);Mary Wollstonecraft Shelley;1994;Dover Publications;http://images.amazon.com/images/P/0486282112.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0486282112.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0486282112.01.LZZZZZZZ.jpg
