ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
1881320189;Goodbye to the Buttermilk Sky;Julia Oliver;1994;River City Pub;http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
0553280333;Getting Well Again;O. Carol Simonton Md;1992;Bantam;http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg
0451406923;Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims;Charles Hickey;1996;Onyx Books;http://images.amazon.com/images/P/0451406923.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451406923.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451406923.01.LZZZZZZZ.jpg
0345425294;Gangster;Lorenzo Carcaterra;2002;Fawcett Books;http://images.amazon.com/images/P/0345425294.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345425294.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg
0452282152;Girl With a Pearl Earring;Tracy Chevalier;2001;Plume Books;http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
0435272683;Great Expectations (Heinemann Guided Readers);John Milne;1995;Delta Systems;http://images.amazon.com/images/P/0435272683.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0435272683.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0435272683.01.LZZZZZZZ.jpg
0486415864;Great Expectations (Dover Thrift Editions);Charles Dickens;2001;Dover Publications;http://images.amazon.com/images/P/0486415864.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0486415864.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0486415864.01.LZZZZZZZ.jpg
8423324311;Gastronomia Divina (L'Ã¡ncora);Eugeni Perea SimÃ³n;1994;Destino;http://images.amazon.com/images/P/8423324311.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8423324311.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8423324311.01.LZZZZZZZ.jpg
8478097732;GrÃ cies Per La Propina (Columna);Ferran Torrent;1995;Columna;http://images.amazon.com/images/P/8478097732.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8478097732.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8478097732.01.LZZZZZZZ.jpg
0553582682;Guinness World Records 2000 (Guinness Book of Records, 2000);Nic Kynaston;2000;Bantam Books;http://images.amazon.com/images/P/0553582682.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553582682.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582682.01.LZZZZZZZ.jpg
