ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
1879384493;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;Cypress House;http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg
0553582909;Icebound;Dean R. Koontz;2000;Bantam Books;http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
0671888587;I'll Be Seeing You;Mary Higgins Clark;1994;Pocket;http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
0425182908;Isle of Dogs;Patricia Cornwell;2002;Berkley Publishing Group;http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
0345372700;If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground;LEWIS GRIZZARD;1991;Ballantine Books;http://images.amazon.com/images/P/0345372700.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg
0446325805;If Love Were Oil, I'd Be About a Quart Low;Lewis Grizzard;1994;Warner Books (Mm);http://images.amazon.com/images/P/0446325805.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446325805.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg
0785263292;If Singleness Is a Gift, What's the Return Policy?;Holly Virden;2003;Nelson Books;http://images.amazon.com/images/P/0785263292.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0785263292.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0785263292.01.LZZZZZZZ.jpg
3423241489;Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.;Arabella Weir;1998;Dtv;http://images.amazon.com/images/P/3423241489.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3423241489.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3423241489.01.LZZZZZZZ.jpg
0061052523;Interesting Times: A Novel of Discworld;Terry Pratchett;1997;Harpercollins;http://images.amazon.com/images/P/0061052523.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061052523.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061052523.01.LZZZZZZZ.jpg
0590450875;I Spy: A Book of Picture Riddles;Jean Marzollo;1992;Scholastic;http://images.amazon.com/images/P/0590450875.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590450875.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590450875.01.LZZZZZZZ.jpg
0590481371;I Spy Spooky Night: A Book of Picture Riddles (I Spy Books);Walter Wick;1996;Scholastic;http://images.amazon.com/images/P/0590481371.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590481371.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590481371.01.LZZZZZZZ.jpg
0891091963;Inside out;Lawrence J Crabb;1988;NavPress;http://images.amazon.com/images/P/0891091963.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0891091963.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0891091963.01.LZZZZZZZ.jpg
039456894X;Impossible Vacation;Spalding Gray;1992;Random House Inc;http://images.amazon.com/images/P/039456894X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/039456894X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/039456894X.01.LZZZZZZZ.jpg
0152012966;I Want to Be...a Veterinarian (I Want to Be... Series);Stephanie Maze;1997;Harcourt;http://images.amazon.com/images/P/0152012966.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0152012966.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0152012966.01.LZZZZZZZ.jpg
039914739X;Isle of Dogs;Patricia Daniels Cornwell;2001;Putnam Publishing Group;http://images.amazon.com/images/P/039914739X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/039914739X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/039914739X.01.LZZZZZZZ.jpg
887641486X;I Giorni Dell'abbandono;Elena Ferrante;2002;Edizioni E/O;http://images.amazon.com/images/P/887641486X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/887641486X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/887641486X.01.LZZZZZZZ.jpg
0743418190;In Her Shoes : A Novel;Jennifer Weiner;2002;Atria Books;http://images.amazon.com/images/P/0743418190.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743418190.01.LZZZZZZZ.jpg
0060913509;In Country RI;Bobbie Ann Mason;1986;Perennial;http://images.amazon.com/images/P/0060913509.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060913509.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060913509.01.LZZZZZZZ.jpg
0440441501;In the Dinosaur's Paw (Kids of the Polk Street School);PATRICIA REILLY GIFF;1987;Yearling;http://images.amazon.com/images/P/0440441501.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440441501.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440441501.01.LZZZZZZZ.jpg
0865050880;I Like School (in My World Series);Bobbie Kalman;1985;Crabtree Publishing Company;http://images.amazon.com/images/P/0865050880.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0865050880.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0865050880.01.LZZZZZZZ.jpg
0312986769;In the Bleak Midwinter (A Rev. Clare Ferguson Mystery);Julia Spencer-Fleming;2003;St. Martin's Minotaur;http://images.amazon.com/images/P/0312986769.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312986769.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312986769.01.LZZZZZZZ.jpg
0345369068;If Ever I Return, Pretty Peggy-O;Sharyn McCrumb;1991;Fawcett Books;http://images.amazon.com/images/P/0345369068.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345369068.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345369068.01.LZZZZZZZ.jpg
0684717255;I And Thou;Martin Buber;1971;Free Press;http://images.amazon.com/images/P/0684717255.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684717255.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684717255.01.LZZZZZZZ.jpg
0142000205;Icy Sparks;Gwyn Hyman Rubio;2001;Penguin Books;http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
3502670005;I Ging. Das Buch der Wandlung. Das groÃ?Â?e Weisheits- und Orakelbuch der alten Chinesen.;John. Blofeld;1999;O. W. Barth Bei Scherz;http://images.amazon.com/images/P/3502670005.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3502670005.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3502670005.01.LZZZZZZZ.jpg
