ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
1552041778;Jane Doe;R. J. Kaiser;1999;Mira Books;http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
0061050474;Jingo: A Discworld Novel (Discworld Series/Terry Pratchett);Terry Pratchett;1998;HarperPrism;http://images.amazon.com/images/P/0061050474.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061050474.01.LZZZZZZZ.jpg
0375814248;James and the Giant Peach;ROALD DAHL;2002;Knopf Books for Young Readers;http://images.amazon.com/images/P/0375814248.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375814248.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375814248.01.LZZZZZZZ.jpg
0140374248;James and the Giant Peach;Roald Dahl;2000;Penguin USA (Paper);http://images.amazon.com/images/P/0140374248.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.LZZZZZZZ.jpg
0380012863;Jonathan Livingston Seagull;Richard Bach;1976;Avon;http://images.amazon.com/images/P/0380012863.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
0198320264;Julius Caesar (Oxford School Shakespeare);William Shakespeare;2001;Oxford University Press;http://images.amazon.com/images/P/0198320264.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0198320264.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0198320264.01.LZZZZZZZ.jpg
0020199090;Joshua In the Holy Land;Joseph Girzone;1993;Simon Schuster Trade;http://images.amazon.com/images/P/0020199090.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020199090.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020199090.01.LZZZZZZZ.jpg
0609606727;Julie and Romeo;Jeanne Ray;2000;Harmony;http://images.amazon.com/images/P/0609606727.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0609606727.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0609606727.01.LZZZZZZZ.jpg
1558505377;Jacob Marley's Christmas Carol;Tom Mula;1995;Adams Media Corp;http://images.amazon.com/images/P/1558505377.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558505377.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558505377.01.LZZZZZZZ.jpg
0553268449;JITTERBUG PERFUME;TOM ROBBINS;1985;Bantam;http://images.amazon.com/images/P/0553268449.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553268449.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553268449.01.LZZZZZZZ.jpg
0446604801;Jack & Jill (Alex Cross Novels);James Patterson;1997;Warner Books;http://images.amazon.com/images/P/0446604801.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446604801.01.LZZZZZZZ.jpg
0446677574;Just Here Trying to Save a Few Lives : Tales of Life and Death from the ER;Pamela Grim;2002;Warner Books;http://images.amazon.com/images/P/0446677574.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446677574.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446677574.01.LZZZZZZZ.jpg
0345370775;Jurassic Park;Michael Crichton;1999;Ballantine Books;http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg
0671038184;Jewel;Bret Lott;1999;Washington Square Press;http://images.amazon.com/images/P/0671038184.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg
3478088534;Jetzt will ichs wirklich wissen. Mit mentaler Powertechnik Ziele erreichen.;Peter Kummer;2002;Moderne Verlagsges. Mvg;http://images.amazon.com/images/P/3478088534.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3478088534.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3478088534.01.LZZZZZZZ.jpg
0380725398;Jamaica Inn;Daphne Du Maurier;1995;Avon;http://images.amazon.com/images/P/0380725398.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380725398.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380725398.01.LZZZZZZZ.jpg
0590317822;Just Plain Cat;Nancy K Robinson;1981;Scholastic Inc;http://images.amazon.com/images/P/0590317822.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590317822.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590317822.01.LZZZZZZZ.jpg
0316140651;Johnny Long Legs (Matt Christopher Sports Classics);Matthew F Christopher;1988;Little, Brown;http://images.amazon.com/images/P/0316140651.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316140651.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316140651.01.LZZZZZZZ.jpg
0060287802;Judge Judy Sheindlin's Win or Lose by How You Choose;Judge Judy Sheindlin;2000;HarperCollins;http://images.amazon.com/images/P/0060287802.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060287802.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060287802.01.LZZZZZZZ.jpg
0752999958;Jurassic Park/Congo;Crichton Michael;1997;Random House UK Ltd (A Division of Random House Group);http://images.amazon.com/images/P/0752999958.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0752999958.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0752999958.01.LZZZZZZZ.jpg
0517573822;Jimmy Stewart and His Poems;Jimmy Stewart;1997;Random House Inc;http://images.amazon.com/images/P/0517573822.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0517573822.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0517573822.01.LZZZZZZZ.jpg
8435015521;Justine - El Cuarteto de Alejandria I;Lawrence Durrell;1999;Edhasa;http://images.amazon.com/images/P/8435015521.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8435015521.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8435015521.01.LZZZZZZZ.jpg
0767905180;Jemima J: A Novel About Ugly Ducklings and Swans;Jane Green;2001;Broadway Books;http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
1551669404;Just Over The Mountain;Robyn Carr;2002;Mira;http://images.amazon.com/images/P/1551669404.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1551669404.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1551669404.01.LZZZZZZZ.jpg
2253001279;Journal De Anne Frank;Anne Frank;2003;Livre De Poche French;http://images.amazon.com/images/P/2253001279.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2253001279.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2253001279.01.LZZZZZZZ.jpg
0451195507;Judging Time (April Woo Suspense Novels (Paperback));Leslie Glass;1999;Signet Book;http://images.amazon.com/images/P/0451195507.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451195507.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451195507.01.LZZZZZZZ.jpg
1860467776;Jerk on One End: Reflections of a Mediocre Fisherman;Robert Hughes;2000;Harvill Press;http://images.amazon.com/images/P/1860467776.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1860467776.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1860467776.01.LZZZZZZZ.jpg
0688156126;Jupiter's Bones: A Novel (Peter Decker & Rina Lazarus Novels (Hardcover));Faye Kellerman;1999;Harpercollins;http://images.amazon.com/images/P/0688156126.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0688156126.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0688156126.01.LZZZZZZZ.jpg
0449221482;J Is for Judgment;Sue Grafton;1999;Fawcett Books;http://images.amazon.com/images/P/0449221482.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449221482.01.LZZZZZZZ.jpg
0892132701;Journey of Self-Discovery;A. C. Bhaktivedanta Swami Prabhupada;1990;Bhaktivedanta Book Trust;http://images.amazon.com/images/P/0892132701.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0892132701.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0892132701.01.LZZZZZZZ.jpg
0140022651;Journey to the Center of the Earth;Jules Verne;1965;Penguin Books;http://images.amazon.com/images/P/0140022651.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140022651.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140022651.01.LZZZZZZZ.jpg
0671802283;JUDY GARLAND;Anne E. Edwards;1975;Pocket;http://images.amazon.com/images/P/0671802283.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671802283.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671802283.01.LZZZZZZZ.jpg
0449701875;Jackaroo;Cynthia Voigt;1989;Fawcett Books;http://images.amazon.com/images/P/0449701875.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449701875.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449701875.01.LZZZZZZZ.jpg
034536662X;Jacob the Baker: Gentle Wisdom For a Complicated World;Noah benShea;1990;Ballantine Books;http://images.amazon.com/images/P/034536662X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/034536662X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/034536662X.01.LZZZZZZZ.jpg
0553348981;Jitterbug Perfume;TOM ROBBINS;1990;Bantam;http://images.amazon.com/images/P/0553348981.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553348981.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553348981.01.LZZZZZZZ.jpg
0446528757;Joy;Victoria Christopher Murray;2001;Walk Worthy Press;http://images.amazon.com/images/P/0446528757.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446528757.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446528757.01.LZZZZZZZ.jpg
0440400759;Just As Long As We're Together;Judy Blume;1988;Yearling Books;http://images.amazon.com/images/P/0440400759.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440400759.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440400759.01.LZZZZZZZ.jpg
0590414976;Junior High Jitters (Junior High, No 1);M.L. Kenyon;1987;Scholastic Paperbacks (Mm);http://images.amazon.com/images/P/0590414976.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590414976.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590414976.01.LZZZZZZZ.jpg
0590414658;Just a Little Bit Lost;Laurel Trivelpiece;1988;Scholastic Paperbacks;http://images.amazon.com/images/P/0590414658.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590414658.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590414658.01.LZZZZZZZ.jpg
