ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0002740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;Trafalgar Square;http://images.amazon.com/images/P/0002740230.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg
3150000335;Kabale Und Liebe;Schiller;0;Philipp Reclam, Jun Verlag GmbH;http://images.amazon.com/images/P/3150000335.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3150000335.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3150000335.01.LZZZZZZZ.jpg
0446606197;Killer Market (Deborah Knott Mysteries (Paperback));Margaret Maron;1999;Warner Books;http://images.amazon.com/images/P/0446606197.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446606197.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446606197.01.LZZZZZZZ.jpg
0393321576;Karl Marx: A Life;Francis Wheen;2001;W.W. Norton & Company;http://images.amazon.com/images/P/0393321576.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0393321576.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0393321576.01.LZZZZZZZ.jpg
0425178242;Kick Ass: Selected Columns of Carl Hiaasen;Carl Hiaasen;2001;Berkley Publishing Group;http://images.amazon.com/images/P/0425178242.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425178242.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425178242.01.LZZZZZZZ.jpg
0743206053;Kitchen Privileges : A Memoir;Mary Higgins Clark;2002;Simon & Schuster;http://images.amazon.com/images/P/0743206053.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743206053.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743206053.01.LZZZZZZZ.jpg
0385335679;Kissing in Manhattan;DAVID SCHICKLER;2002;Delta;http://images.amazon.com/images/P/0385335679.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385335679.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385335679.01.LZZZZZZZ.jpg
1888451084;Kamikaze Lust;Lauren Sanders;2000;Akashic Books;http://images.amazon.com/images/P/1888451084.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1888451084.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1888451084.01.LZZZZZZZ.jpg
0805019367;K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.);Sue Grafton;1994;Henry Holt & Company;http://images.amazon.com/images/P/0805019367.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0805019367.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0805019367.01.LZZZZZZZ.jpg
3446202218;Kreutzersonate. Eine Liebesgeschichte;Margriet de Moor;2002;Hanser;http://images.amazon.com/images/P/3446202218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3446202218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3446202218.01.LZZZZZZZ.jpg
0446601241;Kiss the Girls;James Patterson;1995;Warner Books;http://images.amazon.com/images/P/0446601241.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg
0140368558;Kiss the Dust;Elizabeth Laird;1994;Puffin Books;http://images.amazon.com/images/P/0140368558.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140368558.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140368558.01.LZZZZZZZ.jpg
0679734058;Killing Mister Watson;Peter Matthiessen;1991;Vintage Books USA;http://images.amazon.com/images/P/0679734058.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679734058.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679734058.01.LZZZZZZZ.jpg
0441435351;Kent Montana and the Really Ugly Thing from Mars;Lionel Fenn;1990;Ace Books;http://images.amazon.com/images/P/0441435351.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0441435351.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0441435351.01.LZZZZZZZ.jpg
3407780117;Komm, wir finden einen Schatz;Janosch;2001;Beltz;http://images.amazon.com/images/P/3407780117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3407780117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3407780117.01.LZZZZZZZ.jpg
3257250398;Konig Babar;Jean de Brunhoff;1920;Not Avail;http://images.amazon.com/images/P/3257250398.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257250398.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257250398.01.LZZZZZZZ.jpg
1895383129;Kriya Yoga Sutras of Patanjali and the Siddhas;Georg Feverstein;2001;Kriya Yoga Publications;http://images.amazon.com/images/P/1895383129.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1895383129.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1895383129.01.LZZZZZZZ.jpg
0830724982;Knockin' at Heaven's Door;Stephen Hill;1999;Regal Books;http://images.amazon.com/images/P/0830724982.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0830724982.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0830724982.01.LZZZZZZZ.jpg
