ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0375406328;Lying Awake;Mark Salzman;2000;Alfred A. Knopf;http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
0842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;Tyndale House Publishers;http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
0060914068;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;HarperCollins Publishers;http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg
0671623249;LONESOME DOVE;Larry McMurtry;1986;Pocket;http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg
2070423204;Lieux dits;Michel Tournier;2002;Gallimard;http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991;Thomas Nelson;http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
0684822733;Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans;Pam Proctor;1996;Fireside;http://images.amazon.com/images/P/0684822733.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg
0451205197;Lady in Green/Minor Indiscretions (Signet Regency Romance);Barbara Metzger;2002;Signet Book;http://images.amazon.com/images/P/0451205197.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg
0060976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996;Perennial;http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
0440949424;Locked in Time (Laurel Leaf Books);LOIS DUNCAN;1986;Laure Leaf;http://images.amazon.com/images/P/0440949424.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg
0671504282;LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The);Franklin W. Dixon;1995;Simon Pulse;http://images.amazon.com/images/P/0671504282.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671504282.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671504282.01.LZZZZZZZ.jpg
3257210450;LÃ?Â¶wenzahnwein. Roman.;Ray Bradbury;1999;Diogenes Verlag;http://images.amazon.com/images/P/3257210450.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257210450.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257210450.01.LZZZZZZZ.jpg
0385316895;Legacy of Silence;Belva Plain;1998;Bantam Dell Pub Group;http://images.amazon.com/images/P/0385316895.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385316895.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385316895.01.LZZZZZZZ.jpg
0151008116;Life of Pi;Yann Martel;2002;Harcourt;http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
0525947647;Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right;Al Franken;2003;Dutton Books;http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
0451523415;Little Women (Signet Classic);Louisa May Alcott;1988;Signet Classics;http://images.amazon.com/images/P/0451523415.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451523415.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451523415.01.LZZZZZZZ.jpg
1401201172;League of Extraordinary Gentlemen, Vol. 2 (Comic);Alan Moore;2003;DC Comics;http://images.amazon.com/images/P/1401201172.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1401201172.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1401201172.01.LZZZZZZZ.jpg
0345371984;Last Chance to See;Douglas Adams;1992;Ballantine Books;http://images.amazon.com/images/P/0345371984.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345371984.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345371984.01.LZZZZZZZ.jpg
0380728273;Liberty Falling (Anna Pigeon Mysteries (Paperback));Nevada Barr;2000;Avon;http://images.amazon.com/images/P/0380728273.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380728273.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380728273.01.LZZZZZZZ.jpg
067103619X;Lake News;Barbara Delinsky;2000;Pocket;http://images.amazon.com/images/P/067103619X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/067103619X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067103619X.01.LZZZZZZZ.jpg
0849953014;Life Lessons: Book Of Hebrews;Max Lucado;1997;W Publishing Group;http://images.amazon.com/images/P/0849953014.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0849953014.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0849953014.01.LZZZZZZZ.jpg
0060973897;Lakota Woman;Dog Mary Crow;1991;Perennial;http://images.amazon.com/images/P/0060973897.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060973897.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060973897.01.LZZZZZZZ.jpg
0449002632;London : The Novel;EDWARD RUTHERFURD;1998;Fawcett;http://images.amazon.com/images/P/0449002632.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449002632.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449002632.01.LZZZZZZZ.jpg
0449213773;Life Before Man;Margaret Atwood;1990;Fawcett Books;http://images.amazon.com/images/P/0449213773.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449213773.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449213773.01.LZZZZZZZ.jpg
8429736131;La dona dels ulls de pluja: Barcelona anys 90 (El BalancÃ­);VÃ­ctor Mora;1993;Edicions 62;http://images.amazon.com/images/P/8429736131.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8429736131.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8429736131.01.LZZZZZZZ.jpg
8475960936;Les llengÃ¼es d'Africa (Biblioteca universal EmpÃºries);M. Carme Junyent;1986;Editorial EmpÃºries;http://images.amazon.com/images/P/8475960936.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8475960936.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8475960936.01.LZZZZZZZ.jpg
8478091246;L'home del sac;MÃ rius Serra;1990;Columna;http://images.amazon.com/images/P/8478091246.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8478091246.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8478091246.01.LZZZZZZZ.jpg
8483002523;La mirada del tafur (ColÂ¨lecciÃ³ clÃ ssica);Ferran Torrent;1997;Columna;http://images.amazon.com/images/P/8483002523.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8483002523.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8483002523.01.LZZZZZZZ.jpg
8466601090;Las DOS Muertes De Gardel (Ficcionario);Horacio Vazquez-Rial;2002;Ediciones B;http://images.amazon.com/images/P/8466601090.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8466601090.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8466601090.01.LZZZZZZZ.jpg
0345416848;Last Sword of Power (Stones of Power);David Gemmell;1997;Del Rey Books;http://images.amazon.com/images/P/0345416848.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345416848.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345416848.01.LZZZZZZZ.jpg
0452277337;Le Divorce (William Abrahams Book);Diane Johnson;1997;Plume Books;http://images.amazon.com/images/P/0452277337.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0452277337.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452277337.01.LZZZZZZZ.jpg
