ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
1575663937;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;Kensington Publishing Corp.;http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
0061076031;Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in);Mary-Kate & Ashley Olsen;2000;HarperEntertainment;http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg
038078243X;Miss Zukas and the Raven's Dance;Jo Dereske;1996;Avon;http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg
087113375X;Modern Manners: An Etiquette Book for Rude People;P.J. O'Rourke;1990;Atlantic Monthly Press;http://images.amazon.com/images/P/087113375X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg
0060930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;Perennial;http://images.amazon.com/images/P/0060930365.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg
0679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994;Random House;http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
0553347594;McDonald's: Behind the Arches;John F. Love;1995;Bantam;http://images.amazon.com/images/P/0553347594.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg
039575514X;My Antonia;Willa Cather;1995;Mariner Books;http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg
0375400117;Memoirs of a Geisha;Arthur Golden;1997;Alfred A. Knopf;http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg
0449006522;Manhattan Hunt Club;JOHN SAUL;2002;Ballantine Books;http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
006102063X;Moving Pictures (Discworld Novels (Paperback));Terry Pratchett;2002;HarperTorch;http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/006102063X.01.LZZZZZZZ.jpg
0060809027;My Friend Flicka;Mary O'Hara;1988;Perennial;http://images.amazon.com/images/P/0060809027.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060809027.01.LZZZZZZZ.jpg
