ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0771074670;Nights Below Station Street;David Adams Richards;1988;Emblem Editions;http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;Ryland Peters & Small Ltd;http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg
0961769947;Northwest Wines and Wineries;Chuck Hill;1993;Speed Graphics;http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg
0393020371;Next: The Future Just Happened;Michael Lewis;2001;W.W. Norton & Company;http://images.amazon.com/images/P/0393020371.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0393020371.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg
0345354931;Night Mare (Xanth Novels (Paperback));Piers Anthony;1990;Del Rey Books;http://images.amazon.com/images/P/0345354931.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg
3499110695;Neun ErzÃ?Â¤hlungen.;Jerome D. Salinger;1968;Rowohlt Tb.;http://images.amazon.com/images/P/3499110695.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3499110695.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3499110695.01.LZZZZZZZ.jpg
0060013117;Night Watch;Terry Pratchett;2002;HarperCollins;http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg
0679423079;Nicholas Nickleby (Everyman's Library);Charles Dickens;1993;Alfred A. Knopf;http://images.amazon.com/images/P/0679423079.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679423079.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679423079.01.LZZZZZZZ.jpg
0312963009;Neanderthal: A Novel;John Darnton;1997;St. Martin's Press;http://images.amazon.com/images/P/0312963009.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312963009.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312963009.01.LZZZZZZZ.jpg
0312988699;Nowhere To Run;Mary Jane Clark;2004;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312988699.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312988699.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312988699.01.LZZZZZZZ.jpg
0684180200;NEW SHOE;Arthur William Upfield;1983;Scribner Paper Fiction;http://images.amazon.com/images/P/0684180200.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684180200.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684180200.01.LZZZZZZZ.jpg
1862047626;New Perspectives: Runes;Bernard King;2000;Harper Collins - UK;http://images.amazon.com/images/P/1862047626.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1862047626.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1862047626.01.LZZZZZZZ.jpg
8472224260;Negra i consentida (ColÂ¨lecciÃ³ El Mirall);OfÃ¨lia Dracs;1983;Laia;http://images.amazon.com/images/P/8472224260.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8472224260.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8472224260.01.LZZZZZZZ.jpg
0805063897;Nickel and Dimed: On (Not) Getting By in America;Barbara Ehrenreich;2002;Owl Books;http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
0373484100;Night Tales;Nora Roberts;2000;Silhouette;http://images.amazon.com/images/P/0373484100.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0373484100.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0373484100.01.LZZZZZZZ.jpg
