ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0609804618;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;Three Rivers Press;http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
0684823802;OUT OF THE SILENT PLANET;C.S. Lewis;1996;Scribner;http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
9724119378;O Deus Das Pequenas Coisas;Roy;1998;Edicoes Asa;http://images.amazon.com/images/P/9724119378.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg
0060929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998;Perennial;http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg
0425164403;Only Love (Magical Love);Erich Segal;1998;Berkley Publishing Group;http://images.amazon.com/images/P/0425164403.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425164403.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425164403.01.LZZZZZZZ.jpg
0064472264;On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson;Louise Rennison;2002;HarperTempest;http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg
0440235502;October Sky: A Memoir;Homer Hickam;1999;Dell;http://images.amazon.com/images/P/0440235502.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440235502.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg
0671649949;OBJECT AFFECTION;Stephen McCauley;1988;Washington Square Press;http://images.amazon.com/images/P/0671649949.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671649949.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671649949.01.LZZZZZZZ.jpg
0802114369;Ohitika Woman;Mary Brave Bird;1993;Pub Group West;http://images.amazon.com/images/P/0802114369.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0802114369.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0802114369.01.LZZZZZZZ.jpg
0866119566;Oliver Twist (Great Illustrated Classics);Charles Dickens;1989;Playmore Inc. Publishers;http://images.amazon.com/images/P/0866119566.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0866119566.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0866119566.01.LZZZZZZZ.jpg
0385503857;Oryx and Crake;Margaret Atwood;2003;Nan A. Talese;http://images.amazon.com/images/P/0385503857.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg
0871138646;Old Flames;John Lawton;2003;Atlantic Monthly Press;http://images.amazon.com/images/P/0871138646.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0871138646.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0871138646.01.LZZZZZZZ.jpg
0030096189;Organic Chemistry (Saunders Golden Sunburst Series);Stephen J. Weininger;1994;Saunders College Publishing;http://images.amazon.com/images/P/0030096189.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0030096189.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0030096189.01.LZZZZZZZ.jpg
0823032612;Oil Painting Techniques (Artist's Painting Library);David Lewis;1983;Watson-Guptill Publications;http://images.amazon.com/images/P/0823032612.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0823032612.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0823032612.01.LZZZZZZZ.jpg
0805056491;Organizing from the Inside Out;Julie Morgenstern;1998;Henry Holt & Company;http://images.amazon.com/images/P/0805056491.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0805056491.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0805056491.01.LZZZZZZZ.jpg
0312312628;Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery;Julia Spencer-Fleming;2004;St. Martin's Minotaur;http://images.amazon.com/images/P/0312312628.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312312628.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312312628.01.LZZZZZZZ.jpg
0061009059;One for the Money (Stephanie Plum Novels (Paperback));Janet Evanovich;1995;HarperTorch;http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
0140185216;On the Road (Penguin 20th Century Classics);Jack Kerouac;1998;Penguin USA (Paper);http://images.amazon.com/images/P/0140185216.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140185216.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140185216.01.LZZZZZZZ.jpg
0684801221;OLD MAN AND THE SEA;Ernest Hemingway;1995;Scribner;http://images.amazon.com/images/P/0684801221.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684801221.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684801221.01.LZZZZZZZ.jpg
0060192631;One Heart;Jane McCafferty;1999;HarperCollins Publishers;http://images.amazon.com/images/P/0060192631.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060192631.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060192631.01.LZZZZZZZ.jpg
0345428900;Out of the Blue;Sally Mandel;2000;Ballantine Books;http://images.amazon.com/images/P/0345428900.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345428900.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345428900.01.LZZZZZZZ.jpg
0140292918;"Of Mice and Men (Steinbeck \Essentials\"")""";John Steinbeck;2001;Penguin Books Ltd;http://images.amazon.com/images/P/0140292918.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140292918.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140292918.01.LZZZZZZZ.jpg
0451204050;On Secret Service;John Jakes;2001;Signet Book;http://images.amazon.com/images/P/0451204050.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451204050.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451204050.01.LZZZZZZZ.jpg
0450029956;Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series);Cyrano de Bergerac;1976;New English Library;http://images.amazon.com/images/P/0450029956.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0450029956.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0450029956.01.LZZZZZZZ.jpg
0140065172;Ordinary People;Judith Guest;1993;Penguin Books;http://images.amazon.com/images/P/0140065172.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140065172.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140065172.01.LZZZZZZZ.jpg
0373123485;On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348);Sandra Field;2003;Harlequin;http://images.amazon.com/images/P/0373123485.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0373123485.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0373123485.01.LZZZZZZZ.jpg
0741403471;One Brick Shy;Jonathan Pearce;2000;Infinity Publishing (PA);http://images.amazon.com/images/P/0741403471.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0741403471.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0741403471.01.LZZZZZZZ.jpg
0945397410;Outhouses of Alaska;Harry M. Walker;1996;Epicenter Press;http://images.amazon.com/images/P/0945397410.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0945397410.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0945397410.01.LZZZZZZZ.jpg
0140274154;On the Road (Essential.penguin S.);Jack Kerouac;1998;Penguin Books Ltd;http://images.amazon.com/images/P/0140274154.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140274154.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140274154.01.LZZZZZZZ.jpg
