ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0671870432;PLEADING GUILTY;Scott Turow;1993;Audioworks;http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
0375759778;Prague : A Novel;ARTHUR PHILLIPS;2003;Random House Trade Paperbacks;http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
0060168013;Pigs in Heaven;Barbara Kingsolver;1993;Harpercollins;http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
055321215X;Pride and Prejudice;Jane Austen;1983;Bantam;http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg
042518630X;Purity in Death;J.D. Robb;2002;Berkley Publishing Group;http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
0812523873;Proxies;Laura J. Mixon;1999;Tor Books;http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg
0245542957;Pacific Northwest;Hans Johannes Hoefer;1985;Chambers Harrap Publishers Ltd;http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg
0966986105;Prescription for Terror;Sandra Levy Ceren;1999;Andrew Scott Publishers;http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg
0671867156;Pretend You Don't See Her;Mary Higgins Clark;1998;Pocket;http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
0316748641;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;Back Bay Books;http://images.amazon.com/images/P/0316748641.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg
0385235941;Prize Stories, 1987: The O'Henry Awards;William Abrahams;1987;Doubleday Books;http://images.amazon.com/images/P/0385235941.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385235941.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg
044651747X;Puerto Vallarta Squeeze;Robert James Waller;1995;Warner Books;http://images.amazon.com/images/P/044651747X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg
0451206673;Pen Pals;Olivia Goldsmith;2002;Signet Book;http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg
0486284735;Pride and Prejudice (Dover Thrift Editions);Jane Austen;1995;Dover Publications;http://images.amazon.com/images/P/0486284735.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0486284735.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg
0345311396;Private Screening;Richard North Patterson;1994;Ballantine Books;http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345311396.01.LZZZZZZZ.jpg
0345404793;Protect and Defend;Richard North Patterson;2001;Ballantine Books;http://images.amazon.com/images/P/0345404793.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345404793.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg
0375705856;Plainsong (Vintage Contemporaries);KENT HARUF;2000;Vintage;http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg
038076654X;Petals on the River;Kathleen E. Woodiwiss;1997;Avon Trade;http://images.amazon.com/images/P/038076654X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/038076654X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038076654X.01.LZZZZZZZ.jpg
0449911004;Patty Jane's House of Curl (Ballantine Reader's Circle);LORNA LANDVIK;1996;Ballantine Books;http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg
0451162072;Pet Sematary;Stephen King;1994;Signet Book;http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg
0671023616;Postmortem (Kay Scarpetta Mysteries (Paperback));Patricia Cornwell;1998;Pocket;http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg
0060563079;Peter Pan: The Original Story (Peter Pan);J. M. Barrie;2003;HarperFestival;http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060563079.01.LZZZZZZZ.jpg
0373836023;Powder and Patch;Georgette Heyer;2004;Harlequin;http://images.amazon.com/images/P/0373836023.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0373836023.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0373836023.01.LZZZZZZZ.jpg
0394586239;Possession: A Romance;A. S. Byatt;1990;Random House Inc;http://images.amazon.com/images/P/0394586239.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0394586239.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0394586239.01.LZZZZZZZ.jpg
0571197639;Poisonwood Bible Edition Uk;Barbara Kingsolver;0;Faber Faber Inc;http://images.amazon.com/images/P/0571197639.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0571197639.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0571197639.01.LZZZZZZZ.jpg
1563892278;Preludes and Nocturnes (Sandman, Book 1);Neil Gaiman;1998;DC Comics;http://images.amazon.com/images/P/1563892278.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1563892278.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1563892278.01.LZZZZZZZ.jpg
0449207544;Proof;Dick Francis;1990;Fawcett Books;http://images.amazon.com/images/P/0449207544.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449207544.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449207544.01.LZZZZZZZ.jpg
1573225126;Prozac Nation: Young and Depressed in America : A Memoir;Elizabeth Wurtzel;1997;Riverhead Books;http://images.amazon.com/images/P/1573225126.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1573225126.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1573225126.01.LZZZZZZZ.jpg
074345829X;Philip Jose Farmer's The Dungeon;Richard A. Lupoff;2003;I Books;http://images.amazon.com/images/P/074345829X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/074345829X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/074345829X.01.LZZZZZZZ.jpg
0786913878;Pool of Radiance: The Ruins of Myth Drannor (Forgotten Realms);Carrie Bebris;2001;Wizards of the Coast;http://images.amazon.com/images/P/0786913878.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0786913878.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0786913878.01.LZZZZZZZ.jpg
0395710901;Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes;Alfie Kohn;1995;Houghton Mifflin;http://images.amazon.com/images/P/0395710901.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0395710901.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0395710901.01.LZZZZZZZ.jpg
0380710218;Postmortem;Patricia Daniels Cornwell;1993;Harper Mass Market Paperbacks (Mm);http://images.amazon.com/images/P/0380710218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380710218.01.LZZZZZZZ.jpg
0451195663;Primal Scream;Michael Slade;1998;Signet Book;http://images.amazon.com/images/P/0451195663.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451195663.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451195663.01.LZZZZZZZ.jpg
0020442408;Prince Caspian;C. S. Lewis;1970;MacMillan Publishing Company.;http://images.amazon.com/images/P/0020442408.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020442408.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020442408.01.LZZZZZZZ.jpg
0767912918;Passing for Thin : Losing Half My Weight and Finding My Self;FRANCES KUFFEL;2004;Broadway;http://images.amazon.com/images/P/0767912918.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0767912918.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0767912918.01.LZZZZZZZ.jpg
2266084372;Pourquoi j'ai mangÃ?Â© mon pÃ?Â¨re;Lewis;2000;Pocket;http://images.amazon.com/images/P/2266084372.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2266084372.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2266084372.01.LZZZZZZZ.jpg
2290314951;Paroles de Poilus : Lettres et carnets du front 1914-1918;Collectif;2001;J'ai lu;http://images.amazon.com/images/P/2290314951.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2290314951.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2290314951.01.LZZZZZZZ.jpg
0679450440;Protect and Defend;Richard North Patterson;2000;Random House Inc;http://images.amazon.com/images/P/0679450440.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679450440.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679450440.01.LZZZZZZZ.jpg
0812521331;People of the Wolf (The First North Americans series, Book 1);W. Michael Gear;1992;Tor Books;http://images.amazon.com/images/P/0812521331.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0812521331.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0812521331.01.LZZZZZZZ.jpg
0394178017;Poetics of the New American Poetry;Donald Merriam Allen;1974;Grove Press;http://images.amazon.com/images/P/0394178017.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0394178017.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0394178017.01.LZZZZZZZ.jpg
0425134350;Patriot Games;Tom Clancy;1992;Berkley Publishing Group;http://images.amazon.com/images/P/0425134350.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425134350.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425134350.01.LZZZZZZZ.jpg
0373245696;Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569);Lois Faye Dyer;2003;Silhouette;http://images.amazon.com/images/P/0373245696.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0373245696.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0373245696.01.LZZZZZZZ.jpg
0876850867;Post Office;Charles Bukowski;1980;Black Sparrow Books;http://images.amazon.com/images/P/0876850867.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0876850867.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0876850867.01.LZZZZZZZ.jpg
0872203492;Plato Complete Works;Plato;1997;Hackett Publishing Company;http://images.amazon.com/images/P/0872203492.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0872203492.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0872203492.01.LZZZZZZZ.jpg
