ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000;Warner Books;http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg
0671864769;Relics (Star Trek: The Next Generation);Michael Jan Friedman;1992;Star Trek;http://images.amazon.com/images/P/0671864769.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671864769.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg
0380778556;Rebecca;Daphne Du Maurier;1994;Avon;http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg
0446605484;Roses Are Red (Alex Cross Novels);James Patterson;2001;Warner Vision;http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
0771076002;Remembering Peter Gzowski : A Book of Tributes;EDNA BARKER;2002;Douglas Gibson Books;http://images.amazon.com/images/P/0771076002.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0771076002.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0771076002.01.LZZZZZZZ.jpg
0671847546;REAL GUIDE: CALIFORNIA AND THE WEST COAST (The Real guides);LTD;1993;John Wiley & Sons Inc;http://images.amazon.com/images/P/0671847546.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671847546.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671847546.01.LZZZZZZZ.jpg
0020437501;Rosie'S Walk;Pat Hutchins;1971;Aladdin;http://images.amazon.com/images/P/0020437501.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020437501.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020437501.01.LZZZZZZZ.jpg
0553285343;RUSSIA HOUSE, THE;JOHN LE CARRE;1990;Bantam;http://images.amazon.com/images/P/0553285343.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553285343.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553285343.01.LZZZZZZZ.jpg
0684824442;REEF;Edith Wharton;1996;Scribner;http://images.amazon.com/images/P/0684824442.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684824442.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684824442.01.LZZZZZZZ.jpg
0486206173;Rubinstein's Chess Masterpieces;Akiba Rubinstein;1941;Dover Publications;http://images.amazon.com/images/P/0486206173.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0486206173.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0486206173.01.LZZZZZZZ.jpg
0375403582;Rules of the Wild;Francesca Marciano;1998;Random House Inc;http://images.amazon.com/images/P/0375403582.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375403582.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375403582.01.LZZZZZZZ.jpg
0515127833;River's End;Nora Roberts;2003;Jove Books;http://images.amazon.com/images/P/0515127833.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0515127833.01.LZZZZZZZ.jpg
0553225987;Robert's Rules of Order;William Eisner;1986;Bantam Books;http://images.amazon.com/images/P/0553225987.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553225987.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553225987.01.LZZZZZZZ.jpg
0590687301;Ralph S. Mouse;Beverly Cleary;2000;Scholastic;http://images.amazon.com/images/P/0590687301.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590687301.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590687301.01.LZZZZZZZ.jpg
0345251733;Rainbow the Stormy Life of Judy Garland;Christopher Finch;0;Ballantine Books;http://images.amazon.com/images/P/0345251733.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345251733.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345251733.01.LZZZZZZZ.jpg
0807070718;Rena's Promise: A Story of Sisters in Auschwitz;Rena Kornreich Gelissen;1996;Beacon Press;http://images.amazon.com/images/P/0807070718.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0807070718.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0807070718.01.LZZZZZZZ.jpg
