ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
3442410665;Sturmzeit. Roman.;Charlotte Link;1991;Goldmann;http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
0449005615;Seabiscuit: An American Legend;Laura Hillenbrand;2002;Ballantine Books;http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0679810307;Shabanu: Daughter of the Wind (Border Trilogy);Suzanne Fisher Staples;1991;Laurel Leaf;http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg
0345465083;Seabiscuit;Laura Hillenbrand;2003;Ballantine Books;http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
0441783589;Starship Troopers;Robert A. Heinlein;1987;Ace Books;http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
0060177586;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;Harpercollins;http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg
0446601640;Slow Waltz in Cedar Bend;Robert James Waller;1994;Warner Books;http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
0451525221;Scarlet Letter;Nathaniel Hawthorne;1993;Signet Book;http://images.amazon.com/images/P/0451525221.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451525221.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg
0140250964;Snow Angels;Stewart O'Nan;1995;Penguin Books;http://images.amazon.com/images/P/0140250964.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg
0671047612;Skin and Bones;Franklin W. Dixon;2000;Aladdin;http://images.amazon.com/images/P/0671047612.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671047612.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671047612.01.LZZZZZZZ.jpg
3462021095;Schwarzer Tee Mit Drei StÃ¼ck Zucker;Renan Demirkan;1991;Kiepenheuer & Witsch;http://images.amazon.com/images/P/3462021095.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3462021095.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3462021095.01.LZZZZZZZ.jpg
0385730586;Sisterhood of the Traveling Pants;Ann Brashares;2003;Delacorte Books for Young Readers;http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
0451186648;Silent Snow;Steve Thayer;2000;Signet Book;http://images.amazon.com/images/P/0451186648.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451186648.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg
051513290X;Summer of Storms;Judith Kelman;2002;Jove Books;http://images.amazon.com/images/P/051513290X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/051513290X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg
0804111359;Secret History;Donna Tartt;1993;Ballantine Books;http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
0520011171;Sappho: A New Translation;Mary Barnard;1958;University of California Press;http://images.amazon.com/images/P/0520011171.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0520011171.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0520011171.01.LZZZZZZZ.jpg
0872200760;Symposium;Paul Woodruff;1989;Hackett Pub Co Inc;http://images.amazon.com/images/P/0872200760.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0872200760.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0872200760.01.LZZZZZZZ.jpg
0062770500;Seattle Access;HarperReference;1993;Access Press (HarperCollins);http://images.amazon.com/images/P/0062770500.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0062770500.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0062770500.01.LZZZZZZZ.jpg
0915811537;Son Rise: The Miracle Continues;Barry Neil Kaufman;1994;Pub Group West;http://images.amazon.com/images/P/0915811537.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0915811537.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0915811537.01.LZZZZZZZ.jpg
1880185008;Serving as Senders: How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home;Neal Pirolo;1991;Emmaus Road Intl;http://images.amazon.com/images/P/1880185008.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1880185008.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1880185008.01.LZZZZZZZ.jpg
0785815147;Simple Wicca (Simple Wisdom Book);Michele Morgan;2002;Castle Books;http://images.amazon.com/images/P/0785815147.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0785815147.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0785815147.01.LZZZZZZZ.jpg
0373196989;Santa Brought a Son : Marrying the Boss's Daughter (Silhouette Romance, 1698);Melissa McClone;2003;Silhouette;http://images.amazon.com/images/P/0373196989.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0373196989.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0373196989.01.LZZZZZZZ.jpg
