ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0393045218;The Mummies of Urumchi;E. J. W. Barber;1999;W. W. Norton & Company;http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
0399135782;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group;http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
0887841740;The Middle Stories;Sheila Heti;2004;House of Anansi Press;http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
1567407781;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;Brilliance Audio - Trade;http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
0440234743;The Testament;John Grisham;1999;Dell;http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0439095026;Tell Me This Isn't Happening;Robynn Clairday;1999;Scholastic;http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
0345417623;Timeline;MICHAEL CRICHTON;2000;Ballantine Books;http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
3442446937;Tage der Unschuld.;Richard North Patterson;2000;Goldmann;http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg
0446310786;To Kill a Mockingbird;Harper Lee;1988;Little Brown & Company;http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
067176537X;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;Fireside;http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg
