ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0679425608;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;Random House;http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
3518111000;Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).;James Joyce;1981;Suhrkamp;http://images.amazon.com/images/P/3518111000.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3518111000.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3518111000.01.LZZZZZZZ.jpg
0670815373;Urn Burial;Robert Westall;1987;Viking Children's Books;http://images.amazon.com/images/P/0670815373.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0670815373.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0670815373.01.LZZZZZZZ.jpg
0927545373;Unveiled at Last;Bob Sjogren;1988;YWAM Publishing;http://images.amazon.com/images/P/0927545373.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0927545373.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0927545373.01.LZZZZZZZ.jpg
8478884963;Una casa en Irlanda;Maeve Binchy;1999;Salamandra;http://images.amazon.com/images/P/8478884963.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8478884963.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8478884963.01.LZZZZZZZ.jpg
0880011025;Unattainable Earth;Czeslaw Milosz;1987;Ecco Press;http://images.amazon.com/images/P/0880011025.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0880011025.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0880011025.01.LZZZZZZZ.jpg
229000510X;Une porte sur l'Ã?Â©tÃ?Â©;Robert A. Heinlein;1999;J'ai lu;http://images.amazon.com/images/P/229000510X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/229000510X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/229000510X.01.LZZZZZZZ.jpg
0345429176;Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe;Richard Belzer;1999;Ballantine Books;http://images.amazon.com/images/P/0345429176.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345429176.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345429176.01.LZZZZZZZ.jpg
0375704043;Uncle Tungsten: Memories of a Chemical Boyhood;Oliver W. Sacks;2002;Vintage Books USA;http://images.amazon.com/images/P/0375704043.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375704043.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375704043.01.LZZZZZZZ.jpg
0440500095;Unassigned Territory;Kem Nunn;1988;Bantam Dell Pub Group;http://images.amazon.com/images/P/0440500095.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440500095.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440500095.01.LZZZZZZZ.jpg
0061030651;U.S.S. Seawolf;Patrick Robinson;2001;HarperTorch;http://images.amazon.com/images/P/0061030651.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061030651.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061030651.01.LZZZZZZZ.jpg
2894850743;Un retour simple: Roman;Raymond Cloutier;1998;LanctÃ´t Ã©diteur;http://images.amazon.com/images/P/2894850743.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2894850743.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2894850743.01.LZZZZZZZ.jpg
1593160151;Use What You've Got, and Other Business Lessons I Learned from My Mom;Barbara Corcoran;2003;Listen & Live Audio;http://images.amazon.com/images/P/1593160151.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1593160151.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1593160151.01.LZZZZZZZ.jpg
2253004243;Une Vie;Guy De Maupassant;0;Livre De Poche French;http://images.amazon.com/images/P/2253004243.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2253004243.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2253004243.01.LZZZZZZZ.jpg
8420444782;Un Milagro Informal;Fernando Iwasaki Cauti;2003;Alfaguara Ediciones, S.A. (Spain);http://images.amazon.com/images/P/8420444782.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8420444782.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8420444782.01.LZZZZZZZ.jpg
0446516570;Up Country: A Novel;Nelson DeMille;2002;Warner Books;http://images.amazon.com/images/P/0446516570.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446516570.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446516570.01.LZZZZZZZ.jpg
8807810360;Una Donna;Aleramo;0;Feltrinelli;http://images.amazon.com/images/P/8807810360.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8807810360.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8807810360.01.LZZZZZZZ.jpg
0425166791;Undoing Depression: What Therapy Doesn't Teach You and Medication Can't Give You;Richard O'Connor;1999;Berkley Publishing Group;http://images.amazon.com/images/P/0425166791.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425166791.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425166791.01.LZZZZZZZ.jpg
0380812975;Untie My Heart;Judith Ivory;2002;Avon;http://images.amazon.com/images/P/0380812975.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380812975.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380812975.01.LZZZZZZZ.jpg
0870238566;Unbroken Thread: An Anthology of Plays by Asian American Women;Roberta Uno;1993;University of Massachusetts Press;http://images.amazon.com/images/P/0870238566.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0870238566.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0870238566.01.LZZZZZZZ.jpg
888183152X;Uno, Nessuno E Centomila (Fiction, Poetry and Drama);Pirandello;0;Feltrinelli;http://images.amazon.com/images/P/888183152X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/888183152X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/888183152X.01.LZZZZZZZ.jpg
8806155873;Un Giorno Dopo L'altro;Carlo Lucarelli;2000;Einaudi;http://images.amazon.com/images/P/8806155873.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8806155873.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8806155873.01.LZZZZZZZ.jpg
8432227587;UN Reparti De Asesinos;Sidney D. Kirkpatrick;2003;Planeta Pub Corp;http://images.amazon.com/images/P/8432227587.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8432227587.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8432227587.01.LZZZZZZZ.jpg
0140124497;Uncle Dynamite;P.G. Wodehouse;1991;Penguin Books;http://images.amazon.com/images/P/0140124497.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140124497.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140124497.01.LZZZZZZZ.jpg
037550334X;Undue Influence;Anita Brookner;2000;Random House Inc;http://images.amazon.com/images/P/037550334X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/037550334X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/037550334X.01.LZZZZZZZ.jpg
0007154615;Unless : A Novel;Carol Shields;2003;Perennial;http://images.amazon.com/images/P/0007154615.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0007154615.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0007154615.01.LZZZZZZZ.jpg
0789410842;Ultimate Christmas;Jane Newdick;1996;Dk Pub;http://images.amazon.com/images/P/0789410842.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0789410842.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0789410842.01.LZZZZZZZ.jpg
0316639842;Unnatural Exposure;Cornwell Patricia;0;Little Brown Company;http://images.amazon.com/images/P/0316639842.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316639842.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316639842.01.LZZZZZZZ.jpg
0679401032;Uh-Oh: Some Observations from Both Sides of the Refrigerator Door;Robert Fulghum;1991;Random House Inc;http://images.amazon.com/images/P/0679401032.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679401032.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679401032.01.LZZZZZZZ.jpg
0804111898;Uh-Oh: Some Observations from Both Sides of the Refrigerator Door;Robert Fulghum;1993;Ivy Books;http://images.amazon.com/images/P/0804111898.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0804111898.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0804111898.01.LZZZZZZZ.jpg
8472236552;UN Viejo Que Leia Novelas De Amor/the Old Men Who Read Love Stories (ColecciÃ³n Andanzas);Luis Sepulveda;1993;Tusquets Editores;http://images.amazon.com/images/P/8472236552.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8472236552.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8472236552.01.LZZZZZZZ.jpg
8488791518;Un racÃ³ de paraigua (ColÂ¨lecciÃ³ Toc de ficciÃ³);Josep Maria EspinÃ s;1997;La Campana;http://images.amazon.com/images/P/8488791518.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8488791518.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8488791518.01.LZZZZZZZ.jpg
188517182X;Urban Etiquette: Marvelous Manners for the Modern Metropolis;Charles Purdy;2004;Wildcat Canyon Press;http://images.amazon.com/images/P/188517182X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/188517182X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/188517182X.01.LZZZZZZZ.jpg
037322348X;Unforgettable (Harlequin Intrigue, No 348);Molly Rice;1995;Harlequin;http://images.amazon.com/images/P/037322348X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/037322348X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/037322348X.01.LZZZZZZZ.jpg
0446607193;Unspeakable;Sandra Brown;1999;Warner Books;http://images.amazon.com/images/P/0446607193.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446607193.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446607193.01.LZZZZZZZ.jpg
0767900383;Under the Tuscan Sun;Frances Mayes;1997;Broadway;http://images.amazon.com/images/P/0767900383.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0767900383.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0767900383.01.LZZZZZZZ.jpg
0451209117;Under Pressure: The Final Voyage of Submarine S-Five;A. J. Hill;2003;New American Library;http://images.amazon.com/images/P/0451209117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451209117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451209117.01.LZZZZZZZ.jpg
0743236777;Under Pressure : The Final Voyage of Submarine S-Five;A. J. Hill;2002;Free Press;http://images.amazon.com/images/P/0743236777.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743236777.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743236777.01.LZZZZZZZ.jpg
8467004665;Una Historia De Amor Como Otra Cualquiera;Lucia Etxebarria;2003;Espasa Calpe Mexicana, S.A.;http://images.amazon.com/images/P/8467004665.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8467004665.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8467004665.01.LZZZZZZZ.jpg
