ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
3257233051;Veronika Deschliesst Zu Sterben / Vernika Decides to Die;Paolo Coelho;2002;Distribooks;http://images.amazon.com/images/P/3257233051.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3257233051.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3257233051.01.LZZZZZZZ.jpg
0380730138;Vinegar Hill (Oprah's Book Club (Paperback));A. Manette Ansay;1998;Perennial;http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg
0801096677;Victorious Christians You Should Know;Warren W. Wiersbe;1984;Baker Book House;http://images.amazon.com/images/P/0801096677.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0801096677.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0801096677.01.LZZZZZZZ.jpg
1877727083;Vertical Poetry: Recent Poems;Roberto Juarroz;1992;White Pine Press (NY);http://images.amazon.com/images/P/1877727083.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1877727083.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1877727083.01.LZZZZZZZ.jpg
0385306032;Vanished;Danielle Steel;1993;Delacorte Press;http://images.amazon.com/images/P/0385306032.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385306032.01.LZZZZZZZ.jpg
2266029460;Voyage d'une parisienne Ã?Â  Lhassa;Alexandra David-NÃ?Â©el;1989;Pocket;http://images.amazon.com/images/P/2266029460.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2266029460.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2266029460.01.LZZZZZZZ.jpg
0688180639;Vinegar Hill (Oprah's Book Club (Hardcover));A. Manette Ansay;1999;HarperCollins;http://images.amazon.com/images/P/0688180639.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0688180639.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0688180639.01.LZZZZZZZ.jpg
0451176812;Voice of the Eagle;Linda Lay Shuler;1993;Signet Book;http://images.amazon.com/images/P/0451176812.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451176812.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451176812.01.LZZZZZZZ.jpg
8806142267;Viaggi del tempo immobile (I coralli);Roberto Vecchioni;1996;Einaudi;http://images.amazon.com/images/P/8806142267.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8806142267.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8806142267.01.LZZZZZZZ.jpg
0345422392;Vittorio the Vampire: New Tales of the Vampires;Anne Rice;2001;Ballantine Books;http://images.amazon.com/images/P/0345422392.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345422392.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345422392.01.LZZZZZZZ.jpg
3453199766;Vielleicht lieber morgen.;Stephen Chbosky;2001;Heyne;http://images.amazon.com/images/P/3453199766.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3453199766.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3453199766.01.LZZZZZZZ.jpg
0553572490;Vice;Jane Feather;1996;Bantam;http://images.amazon.com/images/P/0553572490.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553572490.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553572490.01.LZZZZZZZ.jpg
0425185710;Valhalla Rising (Dirk Pitt Adventures (Paperback));Clive Cussler;2002;Berkley Publishing Group;http://images.amazon.com/images/P/0425185710.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425185710.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425185710.01.LZZZZZZZ.jpg
0802135196;Valley of the Dolls: A Novel;Jacqueline Susann;1997;Grove Press;http://images.amazon.com/images/P/0802135196.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0802135196.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0802135196.01.LZZZZZZZ.jpg
2253152277;VÃ?Â©ronika dÃ?Â©cide de mourir;Paulo Coelho;2002;LGF;http://images.amazon.com/images/P/2253152277.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2253152277.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2253152277.01.LZZZZZZZ.jpg
0141180633;Vineland;Thomas Pynchon;1997;Penguin Books;http://images.amazon.com/images/P/0141180633.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0141180633.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0141180633.01.LZZZZZZZ.jpg
3442730066;Vishnus Tod.;Manil Suri;2002;Btb Bei Goldmann;http://images.amazon.com/images/P/3442730066.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3442730066.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442730066.01.LZZZZZZZ.jpg
8401427177;Vieja Sirena, La;Jose Luis Sampedro;1998;Plaza & Janes Editores, S.A.;http://images.amazon.com/images/P/8401427177.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/8401427177.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8401427177.01.LZZZZZZZ.jpg
