ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;Berkley Publishing Group;http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
074322678X;Where You'll Find Me: And Other Stories;Ann Beattie;2002;Scribner;http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
0971880107;Wild Animus;Rich Shapero;2004;Too Far;http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
3404921038;Wie Barney es sieht.;Mordecai Richler;2002;LÃ?Â¼bbe;http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg
0553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002;Bantam Books;http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg
0446527165;Wish You Well;David Baldacci;2000;Warner Books;http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
0060987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996;Regan Books;http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
055329198X;Wolf Moon;John R. Holt;1997;Bantam;http://images.amazon.com/images/P/055329198X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/055329198X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/055329198X.01.LZZZZZZZ.jpg
0812541642;Waiting;Frank M. Robinson;2000;Tor Books;http://images.amazon.com/images/P/0812541642.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0812541642.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0812541642.01.LZZZZZZZ.jpg
1575843366;What Shall I Be (Barbie Carryalong);Rita Chapman Works;1999;Reader's Digest;http://images.amazon.com/images/P/1575843366.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1575843366.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1575843366.01.LZZZZZZZ.jpg
