ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
2871290911;XIII, Tome 13, L'enqu�?ªte : The XIII Mystery;Jean Van Hamme;1999;Dargaud;http://images.amazon.com/images/P/2871290911.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2871290911.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2871290911.01.LZZZZZZZ.jpg
0380759497;Xanth 15: The Color of Her Panties;Piers Anthony;1992;Eos;http://images.amazon.com/images/P/0380759497.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380759497.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380759497.01.LZZZZZZZ.jpg
0380759470;Xanth 13: Isle of View;Piers Anthony;1990;Eos;http://images.amazon.com/images/P/0380759470.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380759470.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380759470.01.LZZZZZZZ.jpg
0672320967;XML Internationalization and Localization;Yves Savourel;2001;SAMS;http://images.amazon.com/images/P/0672320967.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0672320967.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0672320967.01.LZZZZZZZ.jpg
0061056448;X-Files: Skin (The X-Files);Ben Mezrich;2000;HarperEntertainment;http://images.amazon.com/images/P/0061056448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061056448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061056448.01.LZZZZZZZ.jpg
1591160502;X/1999, Vol. 8: Crescendo;Clamp;2002;VIZ LLC;http://images.amazon.com/images/P/1591160502.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1591160502.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1591160502.01.LZZZZZZZ.jpg
156931568X;X/1999, Vol. 7: Rhapsody;Clamp;2002;VIZ LLC;http://images.amazon.com/images/P/156931568X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/156931568X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/156931568X.01.LZZZZZZZ.jpg
1569314748;X/1999-Duet   (Book 6);Clamp;2000;VIZ LLC;http://images.amazon.com/images/P/1569314748.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569314748.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569314748.01.LZZZZZZZ.jpg
1569314071;X/1999 : Serenade (X/1999);Clamp;1999;VIZ LLC;http://images.amazon.com/images/P/1569314071.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569314071.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569314071.01.LZZZZZZZ.jpg
1569312648;X/1999 : Intermezzo (X/1999);Clamp;1998;Viz Communications;http://images.amazon.com/images/P/1569312648.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569312648.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569312648.01.LZZZZZZZ.jpg
1569312273;X/1999 : Sonata (X/1999);Clamp;2000;Viz Communications;http://images.amazon.com/images/P/1569312273.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569312273.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569312273.01.LZZZZZZZ.jpg
1569311897;X/1999 : Overture (X/1999);Clamp;2002;Viz Communications;http://images.amazon.com/images/P/1569311897.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569311897.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569311897.01.LZZZZZZZ.jpg
1569311382;X/1999 : Prelude (X/1999);Clamp;1996;Viz Communications;http://images.amazon.com/images/P/1569311382.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1569311382.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569311382.01.LZZZZZZZ.jpg
0812509250;Xenocide (Ender Wiggins Saga (Paperback));Orson Scott Card;1992;Tor Books;http://images.amazon.com/images/P/0812509250.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0812509250.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0812509250.01.LZZZZZZZ.jpg
