ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
038081840X;Year's Best Fantasy (Year's Best Fantasy);David G. Hartwell;2001;Eos;http://images.amazon.com/images/P/038081840X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/038081840X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038081840X.01.LZZZZZZZ.jpg
0140382658;You Can Surf the Net: Your Guide to the World of the Internet;Marc Gascoigne;1996;Puffin Books;http://images.amazon.com/images/P/0140382658.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140382658.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140382658.01.LZZZZZZZ.jpg
0308102282;Your Erroneous Zones;Wayne W. Dyer;1976;Harpercollins;http://images.amazon.com/images/P/0308102282.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0308102282.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0308102282.01.LZZZZZZZ.jpg
0590418858;You Be the Jury #02;Marvin Miller;1989;Scholastic;http://images.amazon.com/images/P/0590418858.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590418858.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590418858.01.LZZZZZZZ.jpg
0399148582;You Cannot Be Serious;John McEnroe;2002;Putnam Publishing Group;http://images.amazon.com/images/P/0399148582.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0399148582.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0399148582.01.LZZZZZZZ.jpg
0345401123;Your Blues Ain't Like Mine;BEBE MOORE CAMPBELL;1995;Ballantine Books;http://images.amazon.com/images/P/0345401123.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345401123.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345401123.01.LZZZZZZZ.jpg
0312314256;Year's Best Fantasy and Horror: Sixteenth Edition;Terri Windling;2003;St. Martin's Griffin;http://images.amazon.com/images/P/0312314256.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312314256.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312314256.01.LZZZZZZZ.jpg
0375412972;Yeats Is Dead! A Mystery by 15 Irish Writers;Roddy Doyle;2001;Alfred A. Knopf;http://images.amazon.com/images/P/0375412972.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375412972.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375412972.01.LZZZZZZZ.jpg
0330312367;Year In Provence;Peter Mayle;0;Pan Books Ltd;http://images.amazon.com/images/P/0330312367.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0330312367.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0330312367.01.LZZZZZZZ.jpg
0375727566;Yeats Is Dead! (Vintage Crime/Black Lizard);Joseph O'Connor;2002;Vintage Books USA;http://images.amazon.com/images/P/0375727566.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375727566.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375727566.01.LZZZZZZZ.jpg
