ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0064401472;Zlateh the Goat and Other Stories;Isaac Bashevis Singer;1984;HarperCollins Publishers;http://images.amazon.com/images/P/0064401472.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064401472.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064401472.01.LZZZZZZZ.jpg
3453177622;Zeit im Wind.;Nicholas Sparks;2000;Heyne;http://images.amazon.com/images/P/3453177622.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3453177622.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3453177622.01.LZZZZZZZ.jpg
0375705090;Zen in the Art of Archery (Vintage Spiritual Classics);EUGEN HERRIGEL;1999;Vintage;http://images.amazon.com/images/P/0375705090.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375705090.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375705090.01.LZZZZZZZ.jpg
1558850481;Zoot Suit and Other Plays;Luis Valdez;1992;Arte Publico Press;http://images.amazon.com/images/P/1558850481.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558850481.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558850481.01.LZZZZZZZ.jpg
0553277472;Zen and the Art of Motorcycle Maintenance: An Inquiry into Values;ROBERT PIRSIG;1984;Bantam;http://images.amazon.com/images/P/0553277472.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553277472.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553277472.01.LZZZZZZZ.jpg
0688002307;Zen and the Art of Motorcycle Maintenance : An Inquiry into Values;Robert M. Pirsig;1974;William Morrow;http://images.amazon.com/images/P/0688002307.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0688002307.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0688002307.01.LZZZZZZZ.jpg
0671765973;Zolar's Encyclopedia of Ancient and Forbidden Knowledge.;Zolar;1992;Fireside Books;http://images.amazon.com/images/P/0671765973.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671765973.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671765973.01.LZZZZZZZ.jpg
0764548573;Zope Bible;Michael Bernstein;2002;Wiley;http://images.amazon.com/images/P/0764548573.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0764548573.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0764548573.01.LZZZZZZZ.jpg
006039241X;Zone Perfect Meals in Minutes: 150 Fast and Simple Healthy Recipes from the Bestselling Authorof the Zone and Mastering the Zone;Barry Sears;1997;ReganBooks;http://images.amazon.com/images/P/006039241X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/006039241X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/006039241X.01.LZZZZZZZ.jpg
2277220620;Zone Ã?Â©rogÃ?Â¨ne;Philippe Djian;1986;J'ai lu;http://images.amazon.com/images/P/2277220620.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/2277220620.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2277220620.01.LZZZZZZZ.jpg
