ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0786015276;11th Hour;Bradley Warshauer;2003;Pinnacle Books;http://images.amazon.com/images/P/0786015276.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0786015276.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0786015276.01.LZZZZZZZ.jpg
0307001164;101 Dalmatians;Justine Korman;1996;Golden Books Publishing Company;http://images.amazon.com/images/P/0307001164.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307001164.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307001164.01.LZZZZZZZ.jpg
0316693200;2nd Chance;James Patterson;2002;Little, Brown;http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg
0345358791;2061: Odyssey Three;Arthur C. Clarke;1991;Del Rey Books;http://images.amazon.com/images/P/0345358791.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345358791.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345358791.01.LZZZZZZZ.jpg
0894803700;14,000 Things to Be Happy About;Barbara Ann Kipfer;1990;Workman Publishing;http://images.amazon.com/images/P/0894803700.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0894803700.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0894803700.01.LZZZZZZZ.jpg
1853260312;20,000 Leagues Under the Sea (Wordsworth Collection);Jules Verne;1998;NTC/Contemporary Publishing Company;http://images.amazon.com/images/P/1853260312.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1853260312.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1853260312.01.LZZZZZZZ.jpg
0446610038;1st to Die: A Novel;James Patterson;2002;Warner Vision;http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
0006550789;253;Geoff Ryman;0;Flamingo;http://images.amazon.com/images/P/0006550789.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0006550789.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0006550789.01.LZZZZZZZ.jpg
0451524934;1984;George Orwell;1990;Signet Book;http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
3310005844;20 Jahre 40 Bleiben. Jung Und SchÃ?Â¶n in Den Besten Jahren.;Josephine Fairley;1999;Midena;http://images.amazon.com/images/P/3310005844.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/3310005844.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3310005844.01.LZZZZZZZ.jpg
