ISBN,Shard
0195153448,C
0002005018,C
0060973129,D
0374157065,F
0393045218,T
0399135782,T
0425176428,W
0671870432,P
0679425608,U
074322678X,W
0771074670,N
080652121X,H
0887841740,T
1552041778,J
1558746218,A
1567407781,T
1575663937,M
1881320189,G
0440234743,T
0452264464,B
0609804618,O
1841721522,N
1879384493,I
0061076031,M
0439095026,T
0689821166,F
0971880107,W
0345402871,A
0345417623,T
0684823802,O
0375759778,P
0425163091,C
3404921038,W
3442353866,D
3442410665,S
3442446937,T
0375406328,L
0446310786,T
0449005615,S
0060168013,P
038078243X,M
055321215X,P
067176537X,T
0061099686,D
0553582909,I
0671888587,I
0553582747,F
0425182908,I
042518630X,P
0440223571,T
0812523873,P
0842342702,L
0440225701,T
0060914068,L
0156047624,A
0245542957,P
0380715899,A
0553280333,G
0961769947,N
0964778319,A
0671623249,L
0679810307,S
0679865691,H
2070423204,L
0345260317,T
0394743741,T
042511774X,B
0804106304,T
1853262404,H
0312970242,T
1853260053,T
1414035004,T
0060938412,T
0140067477,T
0345465083,S
0451625889,T
1558531025,L
0441783589,S
0394895894,T
1569871213,B
0375410538,A
0966986105,P
087113375X,M
0340767936,T
0743403843,D
0060930365,M
0060177586,S
0071416331,T
0375509038,T
0553062042,D
0316769487,T
8445071408,E
8445071769,E
8445071777,E
0679429220,M
0671867156,P
0312252617,F
0312261594,F
0316748641,P
0316973742,T
0385235941,P
0446677450,R
0451166892,T
0553347594,M
0671621009,C
067976397X,C
0684822733,L
0786868716,T
8472238822,T
0671864769,R
0671521519,B
0440222303,T
0312953453,B
0446608653,T
0446612545,T
0446612618,A
0451208080,T
0553584383,D
0671027360,A
0812575954,T
0316735736,A
0743439740,E
0345372700,I
0380619458,T
0446325805,I
0451406923,G
0671042858,T
0743249992,B
0840734530,T
0425184226,T
0375500766,C
9724119378,O
0451205197,L
0060929790,O
0060976845,L
0061099325,C
0671004573,B
0446601640,S
0330484516,T
038572179X,A
0393020371,N
